"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","FOOTPRINT5","FOOTPRINT6","FOOTPRINT7","FOOTPRINT8","FOOTPRINT9","FOOTPRINT10","FOOTPRINT11","FOOTPRINT12","FOOTPRINT13","FOOTPRINT14","FOOTPRINT15","FOOTPRINT16","FOOTPRINT17","FOOTPRINT18","FOOTPRINT19","FOOTPRINT20","FOOTPRINT21","FOOTPRINT22","FOOTPRINT23","FOOTPRINT24","FOOTPRINT25","FOOTPRINT26","FOOTPRINT27","FOOTPRINT28","FOOTPRINT29","FOOTPRINT30","FOOTPRINT31","FOOTPRINT32","FOOTPRINT33","FOOTPRINT34","FOOTPRINT35","FOOTPRINT36","FOOTPRINT37","FOOTPRINT38","FOOTPRINT39","ASID PART NUMBER","AVAILABILITY","BANDWIDTH","CHECK_PRICES","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","CPU NAME","DATA RATE","DATASHEETVERSION","DIGI-KEY_PART_NUMBER","DIGI-KEY_PURCHASE_URL","HEIGHT","INTERFACE","LATESTREVISIONDATE","LATESTREVISIONNOTE","MANUFACTURER","MANUFACTURER PART NUMBER","MANUFACTURER’S ORDERING CODE","MAX CPU FREQ","MF","MP","NOMINAL SUPPLY CURRENT","NOTE","NUMBER OF ADC CHANNELS","NUMBER OF CORES","NUMBER OF GPIO","PACKAGE","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PACKAGEVERSION","PART NUMBER","PRICE","PUBLISHED","PUBLISHER","PURCHASE-URL","SNAPEDA_LINK","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLY VOLTAGE","TE_PURCHASE_URL","TEMPERATURE RANGE","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"1N4001","DIO-SMD-106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","Datasheet","E:\NEW_DATA\ELECTRONIC_DOCUMENT\DATASHEET\1N4001 (2).pdf","","","","","","","","","","","","","","","","","","","","","","","","","","0.006","","","","","","","","","","","","","","","*","D?","1.0A RECTIFIER"
"4504","SOIC-16S","SOIC-16","DIP16","DIP16_SOCKET","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","Datasheet","E:\NEW_DATA\ELECTRONIC_DOCUMENT\DATASHEET\CD4504B.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","CMOS HEX VOLTAGE-LEVEL SHIFTER FOR TTL-TO-CMOS OR CMOS-TO-CMOS"
"723HC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IC REGULATOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","723HC"
"74595","DIP16","DIP16_SOCKET","SOIC-16","SOIC-16S","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","","","","","","","","","","","","","","","*","U?","CD74HC595 8-Bit Shift Registers With 3-State Output Registers"
"7474","DIP14_SOCKET","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74LS74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74LS74","","IC?","Dual D Flip-Flop"
"7805","TO252AA","TO252","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","L78M05","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.08","","","","","","","","","","","","","","","*","U?","IC PWR MGT-V-REG-ADJ-POS 5/37V 3PINS"
"7SEG1_BLUE_A_0.56","LED7SEG-1-0.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.26","","","","","","","","","","","","","","","*","L?","Segment Digit LED Display"
"7SEG1_BLUE_K_0.56","LED7SEG-1-0.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.26","","","","","","","","","","","","","","","*","L?","Segment Digit LED Display"
"7SEG1_GREEN_A_0.56","LED7SEG-1-0.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.26","","","","","","","","","","","","","","","*","L?","Segment Digit LED Display"
"7SEG1_GREEN_K_0.56","LED7SEG-1-0.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.26","","","","","","","","","","","","","","","*","L?","Segment Digit LED Display"
"7SEG1_RED_A_0.56","LED7SEG-1-0.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.26","","","","","","","","","","","","","","","*","L?","Segment Digit LED Display"
"7SEG1_RED_K_0.56","LED7SEG-1-0.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.26","","","","","","","","","","","","","","","*","L?","Segment Digit LED Display"
"7SEG1_YELLOW_A_0.56","LED7SEG-1-0.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.26","","","","","","","","","","","","","","","*","L?","Segment Digit LED Display"
"7SEG1_YELLOW_K_0.56","LED7SEG-1-0.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.26","","","","","","","","","","","","","","","*","L?","Segment Digit LED Display"
"A4988_STEPPER_MOTOR_DRIVER_CARRIER","MODULE_A4988_STEPPER_MOTOR_DRIVER_CARRIER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unavailable","","","*","","","","","","","","","","","","","","","","Pololu","A4988 STEPPER MOTOR DRIVER CARRIER","","","","","","None","","","","","0.87","","","","https://www.snapeda.com/parts/A4988%20STEPPER%20MOTOR%20DRIVER%20CARRIER/Pololu/view-part/1499394/?ref=snap","","","","","","","","","","*","*","U?","Stepper Motor Driver"
"AMS1117","SOT223(1234)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","Datasheet","E:\NEW_DATA\ELECTRONIC_DOCUMENT\DATASHEET\AMS1117-1-2_C475600.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","","","","","","","","","","","","","","","*","U?","1A Bipolar Linear Regulator"
"ArduinoNano","ARDUINONANOKIT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ArduinoNano","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.26","","","","","","","","","","","","","","","*","M?","A breadboard-friendly board based on the ATMEGA328 kit"
"B0505S","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5V Converter","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.56","","","","","","","","","","","","","","","*","U?",""
"BAT60","DIO-SMD-106","DIO-SMD-123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BAT60","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.008","","","","","Digi-Key","","","BAT60BE6327HTSA1CT-ND","","","","","","","*","D?","DIODE SCHOTTKY 10V 3A SOD323-2"
"BB135","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BB135","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","568-6035-1-ND","","","","","","","*","D?","Diode, Varactor, 20mA, 30V, ~2-20pF tuning range"
"BUZZER","BUZZER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PKM5","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","","","","*","E?","ALARM-AUDIBLE PIEZO ALARM PIN TYPE; 5V"
"Cap-Non-DIP","Cap-Non-150mil","Cap-Non-100mil","Cap-Non-200mil","Cap-Non-300mil","Cap-Non-400mil","Cap-Mica-2.5-2.5x3.8x5.33","Cap-Mica-2.5-2.5x4.6x7","Cap-Mica-2.5-3.5x5x6","Cap-Mica-4.4-3.9x8.1x7.6","Cap-Mica-5-2.5x7.2x6.5","Cap-Mica-5-3.5x8.5x10.5","Cap-Mica-5-4x10x14","Cap-Mica-5-4.5x9.5x11.5","Cap-Mica-5-4.5x12x15","Cap-Mica-5-7x14.5x19","Cap-Mica-5.3-11x21.3x23","Cap-Mica-7.1-6.35x10.2x8.9","Cap-Mica-7.5-3.5x8.5x10.5","Cap-Mica-7.5-3.5x10.5x12.5","Cap-Mica-7.5-4.5x9.5x11.5","Cap-Mica-7.5-5x10x10","Cap-Mica-7.5-5x16x16","Cap-Mica-7.5-6x12.5x12.5","Cap-Mica-9.5-6.1x22.9x26.1","Cap-Mica-10-6.2x12.5x10.5","Cap-Mica-10-8x11x14","Cap-Mica-10-8x13x16","Cap-Mica-10.16-5.08x12.7x14.22","Cap-Mica-10.16-5.08x13.2x17","Cap-Mica-12.5-5x15x11.5","Cap-Mica-15-4x17.5x10.5","Cap-Mica-15-8x17.5x15","Cap-Mica-15-12.5x18.8x19","Cap-Mica-15.5-8.5x18.5x14.3","Cap-Mica-22.5-8.5x22.5x17","Cap-Mica-22.5-11x26x20","Cap-Mica-26.5-7.5x30.5x17","Cap-Mica-27.5-12x30.5x20","Cap-Mica-600mil","","","","","104","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.005","","","","","","","","","","","","","","","*","C?","Non-polar capacitor"
"Cap-Non-SMD","CAP-SMD-0201","CAP-SMD-0402","CAP-SMD-0603","CAP-SMD-0805","CAP-SMD-01005","CAP-SMD-1206","CAP-SMD-1210","CAP-SMD-1812","CAP-SMD-2010","CAP-SMD-2512","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.005","","","","","","","","","","","","","","","*","C?","Non-polar capacitor"
"Cap-Pol-DIP","Cap-P-1.5/4","Cap-P-2/5","Cap-P-2.5/5","Cap-P-2.5/5N","Cap-P-2.5/5L","Cap-P-2.5/5N-2","Cap-P-2.5/6.3","Cap-P-2.5/6.3R","Cap-P-3.4/7.5","Cap-P-3.5/8R","Cap-P-3.8/6.3","Cap-P-3.8/8","Cap-P-3.8/8.6","Cap-P-5/5B","Cap-P-5/6.5R","Cap-P-5/10","Cap-P-5/10BL","Cap-P-5/10GR","Cap-P-5/10N","Cap-P-5/10R","Cap-P-5/10RL","Cap-P-5/13BL","Cap-P-5/13R","Cap-P-7.5/16","Cap-P-7.5/16H","Cap-P-7.5/18","Cap-P-7.5/18BL","Cap-P-7.5/18R","Cap-P-7.5/18RH","Cap-P-10/25","Cap-P-10/30","Cap-P-10/35L","Cap-P-12.5/28R","Cap-P-13/28","","","","","","","","","","1uF/16V","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","","","","*","C?","Polarized capacitor"
"Cap-Pol-SMD","CAP-SMD-01005","CAP-SMD-0201","CAP-SMD-0402","CAP-SMD-0603","CAP-SMD-4.5x5x1.4","CAP-SMD-1206","CAP-SMD-1210","CAP-SMD-1812","CAP-SMD-2010","CAP-SMD-2512","CAP-SMD-5x5.5x1.4","CAP-SMD-5.5x5.5","CAP-SMD-6.3x7.7x2.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.09","","","","","","","","","","","","","","","*","C?","Non-polar capacitor"
"ECG_SENSOR","ECG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AD8232","Info","https://components101.com/modules/ad8232-ecg-module","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?",""
"ESP32 NODEMCU-32","ESP32S_MODULE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","PDF","https://docs.ai-thinker.com/_media/esp32/docs/nodemcu-32s_product_specification.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?",""
"ESP32-DEVKIT-V1","MODULE_ESP32-DEVKITC-32D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unavailable","","","*","","","","","","","","","","","","","","","","Espressif Systems","ESP32-DEVKITC-32D","","","","","","None","","","","","None","","","","https://www.snapeda.com/parts/ESP32-DEVKITC-32D/Espressif%20Systems/view-part/2777395/?ref=snap","","","","","","","","","","*","*","U?","- Transceiver; 802.11 b/g/n _Wi-Fi, WiFi, WLAN_, Bluetooth® Smart Ready 4.x Dual Mode For Use With ESP-WROOM-32"
"ESP32-S","ESP32-S-Footprint","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72 MHz","","*","PCB","https://evertdekker.com/wp/?p=854","ESP32-D0WDQ6","150 Mbps","","","","3.2 mm","Ethernet, I2C, I2S, SPI, UART","","","","","","240 MHz","","","500 mA","","16","2","32","","","","","","2.3","","","","","","","","","","","2.7 ~ 3.6 V","","-40 to +85 degC","","*","M?","Tensilica Xtensa LX6 microprocessor @ 160 or 240 MHz · 320 KiB SRAM"
"ESP32-S WIFI_BT_SoC","ESP32-S-Footprint","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","PCB","https://evertdekker.com/wp/?p=854","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","M?",""
"FIT50-1","IND_FIT50-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Warning","","https://www.snapeda.com/parts/FIT50-1/Triad%20Magnetics/view-part/1542653/?ref=eda","*","","","","","","","","","","","","","","","","Triad Magnetics","FIT50-1","","","","","","Radial Triad Magnetics","","","","","None","","","https://pricing.snapeda.com/search/part/FIT50-1/?ref=eda","https://www.snapeda.com/parts/FIT50-1/Triad%20Magnetics/view-part/1542653/?ref=snap","","","","","","","","","","*","*","L?","FIT50-1 Series 47.4 uH 2.8 A 78.9 mOhm Through Hole Vertical Toroid Inductor"
"HEF4067","SOIC-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","16-channel analog multiplexer/demultiplexer"
"Header4","4P-XH2.54MM-SMT","JP4-D1T","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","J?","4P-XH2.54MM SMT connector"
"IDE_3X2","IDC6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.07","","","","","","","","","","","","","","","*","J?","Male Box Header WR-BHD, THT, Vertical, pitch 2.54 mm, 6 pins"
"IDE_5X2","IDC10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.07","","","","","","","","","","","","","","","*","J?","Male Box Header WR-BHD, THT, Vertical, pitch 2.54 mm, 10 pins"
"INDUCTOR","4426_INDUCTOR","5026_INDUCTOR","6826_INDUCTOR","8026_INDUCTOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","482R2SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.11","","","","","Digi-Key","Mouser","","811-3603-1-ND","580-482R2SC","","","","","2.2uH","*","L?","2.2µH Shielded Wirewound Inductor 8.2A 10mOhm Max Nonstandard, 4 Lead"
"INDUCTOR_FE","4426_INDUCTOR","5026_INDUCTOR","6826_INDUCTOR","8026_INDUCTOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","482R2SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.11","","","","","Digi-Key","Mouser","","811-3603-1-ND","580-482R2SC","","","","","2.2uH","*","L?","2.2µH Shielded Wirewound Inductor 8.2A 10mOhm Max Nonstandard, 4 Lead"
"IRFR3910TRLPBF","TO228P970X238-3N","TO252AA","TO252","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IRFR3910TRLPBF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","Mouser","LCSC","IRFR3910TRLPBFCT-ND","942-IRFR3910TRLPBF","C148158","","","","","*","Q?","N-Channel 16A (Tc) 79W (Tc) Surface Mount D-Pak"
